@relation beansData

@attribute LENGTH REAL
@attribute BREADTH REAL
@attribute WIDTH REAL
@attribute NAME {BIG_DRUM,SMALL_DRUM,oloyin_beans,MILK_BEANS}

@data
8.56,7.24,6.72,BIG_DRUM
9.11,7.79,6.81,BIG_DRUM
10.24,8.16,5.64,BIG_DRUM
10.26,8.09,7.24,BIG_DRUM
9.81,8.04,7.44,BIG_DRUM
9.77,8.62,6.42,BIG_DRUM
8.98,7.23,6.13,BIG_DRUM
7.16,7.36,7.29,BIG_DRUM
8.95,7.16,6.01,BIG_DRUM
8.86,6.65,6.41,BIG_DRUM
8.09,6.24,6.22,BIG_DRUM
10.15,7.97,6.75,BIG_DRUM
10.63,7.22,6.91,BIG_DRUM
8.19,7.21,6.92,BIG_DRUM
8.79,6.66,6.16,BIG_DRUM
11.05,7.57,7.14,BIG_DRUM
8.89,7.18,6.90,BIG_DRUM
9.14,7.13,6.95,BIG_DRUM
10.14,6.54,6.16,BIG_DRUM
9.69,7.76,7.44,BIG_DRUM
11.45,8.59,7.37,BIG_DRUM
10.18,8.29,7.04,BIG_DRUM
10.39,7.99,7.30,BIG_DRUM
9.76,8.26,8.15,BIG_DRUM
9.49,8.16,6.74,BIG_DRUM
10.11,8.38,8.00,BIG_DRUM
9.68,8.96,8.39,BIG_DRUM
10.40,8.22,7.68,BIG_DRUM
10.33,7.47,7.29,BIG_DRUM
9.53,7.19,6.99,BIG_DRUM
11.12,7.23,7.20,BIG_DRUM
8.55,7.28,6.95,BIG_DRUM
8.23,7.91,7.72,BIG_DRUM
9.69,7.72,7.43,BIG_DRUM
9.49,7.4,7.24,BIG_DRUM
9.93,7.53,7.32,BIG_DRUM
9.92,7.39,7.20,BIG_DRUM
9.22,6.58,6.37,BIG_DRUM
8.53,7.17,6.93,BIG_DRUM
8.78,6.08,6.01,BIG_DRUM
8.79,6.92,6.71,BIG_DRUM
8.63,6.26,6.23,BIG_DRUM
9.14,6.71,6.39,BIG_DRUM
10.32,6.58,6.06,BIG_DRUM
8.33,6.38,6.19,BIG_DRUM
8.00,6.17,6.00,BIG_DRUM
8.80,6.96,6.87,BIG_DRUM
7.80,5.5,5.46,BIG_DRUM
8.58,5.62,5.29,BIG_DRUM
8.32,6.5,6.49,BIG_DRUM
11.10,7.54,6.98,BIG_DRUM
8.14,5.4,4.21,BIG_DRUM
7.65,6.41,6.01,BIG_DRUM
7.84,4.92,4.65,BIG_DRUM
8.75,6.83,6.36,BIG_DRUM
9.48,6.78,5.60,BIG_DRUM
9.54,7,6.03,BIG_DRUM
7.38,6.77,5.63,BIG_DRUM
10.26,7.42,6.92,BIG_DRUM
9.57,7.29,6.84,BIG_DRUM
7.69,7.24,6.77,BIG_DRUM
10.27,7.77,6.88,BIG_DRUM
9.51,7.22,6.79,BIG_DRUM
8.97,7.71,6.66,BIG_DRUM
9.37,6.39,5.66,BIG_DRUM
10.12,6.6,6.73,BIG_DRUM
8.17,6.09,5.87,BIG_DRUM
9.95,7.24,6.84,BIG_DRUM
9.29,7.18,5.46,BIG_DRUM
6.73,4.38,4.26,BIG_DRUM
5.65,3.54,3.26,BIG_DRUM
